Nodes;Addjested Nodes
392978189;{392978195,1239956182,392978159,}
392978191;{392978185,}
392978192;{392978193,392978195,}
392978193;{392978192,1293786658,392978087,}
392978195;{392978192,392978189,}
392978197;{1748804908,1748804903,}
392978199;{1748804895,1293786658,}
392978201;{392978203,392978204,1748643032,}
392978203;{392978403,392978201,}
392978204;{392978201,1748804908,4877939800,}
392978209;{1747823610,3088881804,1747823629,}
392978216;{3271010279,536798258,1418907318,}
392978220;{521311914,392977917,392977770,}
392978225;{521311910,1274489127,392978554,}
392978226;{1274488872,392977850,392977932,}
392978229;{392978230,392977850,392977851,}
392978230;{392978229,}
392978235;{1255630474,392978236,}
392978236;{392978235,1255630414,}
392978237;{1255630493,1255630445,392978238,}
392978238;{392978237,392978239,}
392978239;{392978238,392978287,}
392978246;{439985862,1283777440,1283777519,1371536985,}
392978247;{2322959243,2322958899,1747823780,}
392978248;{392978249,392978251,}
392978249;{392978262,392978248,}
392978250;{392978251,392978253,}
392978251;{392978248,392978250,}
392978253;{392978250,1747823610,}
392978254;{392979318,392989892,3088881804,}
392978256;{392978257,1748226703,}
392978257;{392978256,}
392978258;{392978259,392978261,1747823629,}
392978259;{1748226702,392978258,}
392978261;{392978258,392989871,}
392978262;{2463932306,392978249,}
392978267;{392978358,392990067,392978356,}
392978270;{1371537033,1371537030,1300954613,392978271,}
392978271;{2322958899,392978362,392978270,}
392978276;{392979568,2670209837,}
392978277;{2670209837,439985862,}
392978280;{439985861,1371537004,}
392978287;{392978239,1749290388,}
392978288;{1747823617,392978356,392978289,}
392978289;{392990066,392978288,}
392978356;{1288004743,392978288,392978267,}
392978358;{1283777404,392978267,}
392978359;{392978361,1748226691,}
392978360;{1293786677,392978366,}
392978361;{1371537033,392978359,}
392978362;{392978271,1283777404,}
392978363;{392978364,392978370,}
392978364;{392978366,392978363,}
392978366;{392978360,392978364,}
392978367;{392978369,2149944617,}
392978369;{392978370,392978367,}
392978370;{392978363,392978369,}
392978372;{1276801981,1276801917,1276801952,}
392978373;{2149944617,1239956204,392978084,}
392978376;{1365102822,1365701035,1256389815,}
392978377;{3126205743,1272684789,392978013,}
392978378;{3126205743,1270373926,1360710326,}
392978379;{392978380,}
392978380;{392978379,392978381,}
392978381;{392978380,392978382,}
392978382;{392978381,392978395,}
392978395;{392978382,392978397,}
392978397;{392978395,1748227021,392977521,}
392978398;{392978399,1748227025,}
392978399;{392978398,}
392978403;{392978404,392978203,}
392978404;{392978403,}
392978419;{1274488997,1274489114,}
392978437;{1274488997,}
392978525;{392978526,392978016,}
392978526;{392978527,392978525,}
392978527;{392978528,392978526,}
392978528;{392978576,392978527,}
392978530;{392978531,392978542,}
392978531;{392978532,392978530,}
392978532;{392978016,392978531,1272684823,}
392978536;{436883482,521311927,}
392978542;{392978530,521311944,}
392978544;{521311925,392978769,}
392978548;{436883482,1274489032,}
392978550;{521311927,1270373804,521311924,}
392978554;{1274488820,392978225,}
392978564;{392990021,521469722,}
392978571;{1274489005,}
392978574;{392978579,392978575,}
392978575;{392978574,392978576,}
392978576;{392978575,392978528,}
392978578;{392978796,392978579,}
392978579;{392978578,392978574,}
392978603;{392990018,1274489116,392978609,}
392978609;{392978603,521311903,}
392978624;{1294177514,}
392978697;{392978773,392978753,}
392978735;{1274489114,1361844844,}
392978747;{392978760,392978750,}
392978750;{392978747,392978751,}
392978751;{392978750,392978768,}
392978753;{1361844577,392978697,1361844596,}
392978756;{1274489032,1274488794,}
392978759;{1274488794,392978760,}
392978760;{392978759,392978747,}
392978768;{392978751,}
392978769;{392978544,1361844577,1256647839,}
392978771;{1256647839,}
392978773;{1361844844,392978697,}
392978778;{392979296,392978782,392978779,}
392978779;{392978778,392978787,}
392978780;{392978800,392978998,}
392978782;{392978778,5251497850,}
392978783;{392978790,392978784,}
392978784;{392978783,392978785,}
392978785;{392978784,392978786,}
392978786;{392978785,392979016,}
392978787;{392978779,392978790,}
392978790;{392978787,392978783,}
392978791;{1295703831,1295703778,}
392978793;{1295703842,1276801886,}
392978796;{392978578,}
392978798;{392978799,392978801,}
392978799;{392978798,}
392978800;{392978801,392978780,}
392978801;{392978798,392978800,}
392978802;{1276801886,392980234,}
392978809;{1424979917,392978898,}
392978851;{392978852,392978986,}
392978852;{392978876,392978851,}
392978855;{392978874,392978876,392978859,}
392978859;{392978855,1469154393,}
392978865;{392978974,392978871,392978987,}
392978868;{392978871,392978869,}
392978869;{392978868,392978874,}
392978871;{392978865,392978868,}
392978874;{392978974,392978869,392978855,}
392978876;{392978852,392978855,253550,}
392978898;{392978809,}
392978901;{392978910,1424979917,}
392978905;{392978914,392978910,}
392978910;{392978905,392978901,}
392978913;{1424980016,392978914,}
392978914;{392978913,392978905,}
392978917;{1424980061,392979084,}
392978919;{1424980049,1424980061,}
392978921;{392978042,1274488894,}
392978928;{392978929,392977996,}
392978929;{392978930,392978928,1424980054,}
392978930;{392979222,392978929,}
392978934;{392978990,1424980043,5251497840,}
392978944;{1355470878,1355470879,}
392978946;{1355470846,392978947,}
392978947;{392978946,1355470878,1355470872,}
392978948;{1270373857,1270373872,1358033574,}
392978949;{1270374010,1355470682,1270373849,}
392978950;{1270373857,392978990,392978028,1358033525,}
392978951;{1355470572,1270373756,1355470601,}
392978952;{1270373756,1355470682,}
392978955;{1355371279,1355371325,392978956,}
392978956;{1355371336,392978955,1355371469,}
392978957;{5407909203,1293906504,}
392978961;{1353396941,1353396926,1353396946,}
392978962;{392978994,1353396916,}
392978963;{1353397016,1353397024,}
392978966;{1353397019,1353397025,}
392978974;{392978874,392978865,1256389760,}
392978982;{1379643925,5407909208,}
392978984;{1379643964,392978986,}
392978986;{392978851,392978984,392978987,}
392978987;{392978986,392978865,}
392978989;{1239909205,1239938002,}
392978990;{1358033482,392978934,392978950,}
392978991;{1358033475,1358033481,}
392978994;{392978962,392979071,1353396906,}
392978997;{392978998,392979003,}
392978998;{392978999,392978997,392978780,}
392978999;{392979009,392978998,}
392979002;{392979003,1358033475,1355470465,}
392979003;{392978997,392979002,}
392979004;{392979006,392979012,}
392979006;{392980234,392979004,}
392979008;{392979012,392979009,}
392979009;{392979008,392978999,}
392979012;{392979004,392979008,}
392979016;{392978786,5251497844,}
392979017;{5251497844,5251497842,}
392979026;{392979029,392979031,}
392979029;{392979137,392979026,}
392979030;{392979031,5251497842,1239937908,}
392979031;{392979026,392979030,}
392979033;{392979035,}
392979035;{392979033,1371536617,}
